,Condition,MedCodeId,SnomedCTConceptId,SnomedCTDescriptionId,OriginalReadCode,CleansedReadCode,Term
0,Blistering autoimmune skin conditions,267631000006119.0,34250006.0,485794012.0,F4Cy1,F4Cy100,Ocular pemphigoid
1,Blistering autoimmune skin conditions,178429018.0,111196000.0,178429018.0,M140,M140.00,Dermatitis herpetiformis
4,Blistering autoimmune skin conditions,108297019.0,65172003.0,108297019.0,M144,M144.00,Pemphigus
5,Blistering autoimmune skin conditions,763291000006118.0,35154004.0,1228251016.0,M1443,M144300,Pemphigus foliaceous
6,Blistering autoimmune skin conditions,476760014.0,14800001.0,476759016.0,M1445,M144500,Pemphigus vegetans
7,Blistering autoimmune skin conditions,82318018.0,49420001.0,82318018.0,M1446,M144600,Pemphigus vulgaris
8,Blistering autoimmune skin conditions,77439010.0,46459009.0,77439010.0,M1447,M144700,Wildfire pemphigus
9,Blistering autoimmune skin conditions,308659013.0,200907003.0,308659013.0,M1448,M144800,Drug-induced pemphigus
10,Blistering autoimmune skin conditions,308660015.0,65172003.0,108297019.0,M144z,M144z00,Pemphigus NOS
11,Blistering autoimmune skin conditions,142845014.0,86142006.0,142845014.0,M145,M145.00,Pemphigoid
12,Blistering autoimmune skin conditions,127980014.0,77090002.0,127980014.0,M1450,M145000,Bullous pemphigoid
13,Blistering autoimmune skin conditions,13128017.0,7354003.0,13128017.0,M1452,M145200,Senile dermatitis herpetiformis
14,Blistering autoimmune skin conditions,308664012.0,86142006.0,142845014.0,M145z,M145z00,Pemphigoid NOS
15,Blistering autoimmune skin conditions,57191017.0,34250006.0,485796014.0,M146,M146.00,Mucous membrane pemphigoid
16,Blistering autoimmune skin conditions,399920011.0,267800008.0,399920011.0,M1460,M146000,Benign mucous membrane pemphigoid with no eye involvement
17,Blistering autoimmune skin conditions,57192012.0,34250006.0,57192012.0,M1460-1,M146011,Cicatricial pemphigoid
18,Blistering autoimmune skin conditions,485794012.0,34250006.0,485794012.0,M1461,M146100,Ocular pemphigoid
19,Blistering autoimmune skin conditions,308669019.0,34250006.0,57191017.0,M146z,M146z00,Benign mucous membrane pemphigoid
20,Blistering autoimmune skin conditions,309309018.0,65172003.0,108297019.0,Myu10,Myu1000,[X]Other pemphigus
21,Blistering autoimmune skin conditions,309311010.0,86142006.0,142845014.0,Myu12,Myu1200,[X]Other pemphigoid
22,Constipation,25076018.0,14760008.0,25076018.0,19C,19C..00,Constipation
23,Constipation,590111000006111.0,14760008.0,25076018.0,19C-1,19C..11,Constipation symptom
24,Constipation,2162207016.0,14760008.0,2162207016.0,19C2,19C2.00,Constipated
